[2018-04-01 23:05:37,401][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsManager:51] Found a addon jar:xmdp.addon.test-1.0.0.jar
[2018-04-01 23:05:37,402][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:64] =============Core configuration loading=============
[2018-04-01 23:05:37,842][JavaFX Application Thread][INFO][net.javafxchina.xmdp.ui.dk.XMDPEntryFactory:61] XMDPEntryFactory初始化成功
[2018-04-01 23:05:37,842][JavaFX Application Thread][INFO][net.javafxchina.xmdp.ui.dk.XMDPController:81] XMDPController初始化成功
[2018-04-01 23:05:37,852][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.test.TestAnnotationAddon:19] =================TestAnnotationAddon init!=======================
[2018-04-01 23:05:37,870][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:69] =============Loading addons=============
[2018-04-01 23:05:37,883][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.addon.AddonsManager:84] Register beans in addon.xml:name=testAddon;ClassName=net.javafxchina.xmdp.addon.test.TestAddon
[2018-04-01 23:05:37,885][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.test.TestAddon:15] =================TestAddon init!=======================
[2018-04-01 23:05:37,885][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.test.TestAddon:18] =================TestAddon doit!=======================
[2018-04-01 23:05:37,885][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:84] XML Addon test：net.javafxchina.xmdp.addon.test.TestAddon
[2018-04-01 23:05:37,886][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.test.TestAnnotationAddon:23] =================TestAnnotationAddon doit!=======================
[2018-04-01 23:05:37,886][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:88] AnnotationAddon test：net.javafxchina.xmdp.addon.test.TestAnnotationAddon
[2018-04-01 23:05:37,886][JavaFX Application Thread][INFO][net.javafxchina.xmdp.addon.AddonsLauncher:72] =============Core configuration loaded=============
[2018-04-01 23:05:37,902][JavaFX Application Thread][INFO][net.javafxchina.xmdp.ui.dk.ControllerFactory:22] 控件工厂call,查找服务XMDPController;查找结果为net.javafxchina.xmdp.ui.dk.XMDPController@23f75f22
[2018-04-01 23:05:38,043][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.util.ResourceUtil:120] 图标路径：D:\我的坚果云\98技术学习\JavaFX\XMDP\git\xmdp\src\xmdp.ui\cfg\ui\img\logoIcon.png
[2018-04-01 23:05:38,074][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.util.ResourceUtil:120] 图标路径：D:\我的坚果云\98技术学习\JavaFX\XMDP\git\xmdp\src\xmdp.ui\cfg\ui\img\desktop\home.png
[2018-04-01 23:05:38,084][JavaFX Application Thread][WARN][net.javafxchina.xmdp.ui.dk.XMDPEntryFactory:70] EntrySet服务为空，请确认是否配置
[2018-04-01 23:05:38,119][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.util.ResourceUtil:120] 图标路径：D:\我的坚果云\98技术学习\JavaFX\XMDP\git\xmdp\src\xmdp.ui\cfg\ui\img\title.png
[2018-04-01 23:38:17,966][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b3
[2018-04-01 23:38:18,371][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b4
[2018-04-01 23:38:20,461][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b4
[2018-04-01 23:39:08,073][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b3
[2018-04-01 23:39:09,566][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b4
[2018-04-01 23:39:10,134][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b5
[2018-04-01 23:39:10,767][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b5
[2018-04-01 23:39:11,495][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b6
[2018-04-01 23:39:11,938][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b7
[2018-04-01 23:39:13,687][JavaFX Application Thread][DEBUG][net.javafxchina.xmdp.ui.widgets.RibbonHome:103] Selected button: b3
